Genome ID	Source ID	Source	Host	Function	Reference Name	Reference Accession	Reference Phylum	Reference Order	Reference Genus	Reference Name	CheckM Marker lineage	CheckM genomes	CheckM markers	Completeness	Contamination	Strain heterogeneity	QS	gtdb classification	gtdb Phylum	closest_genome_reference	closest_genome_reference_radius	closest_genome_ani	closest_placement_reference	classification_method	note
GISB1995	2069350.3	Public Database	Apis mellifera	None	Lactobacillus sp. ESL0263	GCA_003692845.1	Bacillota	Lactobacillales	Lactobacillus	Lactobacillus sp. ESL0263	g__Lactobacillus (UID377)	91	430	97.4	0.76	0	93.6	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus apis	p__Bacillota	GCF_002837055.1	95	96.79	GCF_002837055.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1996	2070537.3	Public Database	Apis mellifera	None	Commensalibacter sp. ESL0284	GCA_003202795.1	Pseudomonadota	Rhodospirillales	Commensalibacter	Commensalibacter sp. ESL0284	o__Rhodospirillales (UID3754)	63	336	99	0.5	0	96.5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter melissae	p__Pseudomonadota	GCF_009734185.1	95	100	GCF_009734185.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1997	2070537.4	Public Database	Apis mellifera	None	Commensalibacter sp. ESL0284	GCA_009734185.1	Pseudomonadota	Rhodospirillales	Commensalibacter	Commensalibacter sp. ESL0284	o__Rhodospirillales (UID3754)	63	336	99	0.5	0	96.5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter melissae	p__Pseudomonadota	GCF_009734185.1	95	100	GCF_009734185.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1998	2070538.11	Public Database	Apis mellifera	None	Commensalibacter sp. MRS2-bin.1	GCA_025290195.1	Pseudomonadota	Rhodospirillales	Commensalibacter	Commensalibacter sp. MRS2-bin.1	o__Rhodospirillales (UID3754)	63	336	98.01	0.75	0	94.26	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter melissae	p__Pseudomonadota	GCF_009734185.1	95	98.8	GCF_009734185.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB1999	2070538.12	Public Database	Apis mellifera	None	Commensalibacter sp. GUT-bin.4	GCA_025291285.1	Pseudomonadota	Rhodospirillales	Commensalibacter	Commensalibacter sp. GUT-bin.4	o__Rhodospirillales (UID3754)	63	336	95.66	0.78	33.33	91.76	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter sp945266285	p__Pseudomonadota	GCA_945266285.1	95	99.86	GCA_945266285.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2000	2070538.13	Public Database	Apis mellifera	None	Commensalibacter sp. GUT-bin.10	GCA_025291475.1	Pseudomonadota	Rhodospirillales	Commensalibacter	Commensalibacter sp. GUT-bin.10	o__Rhodospirillales (UID3754)	63	336	96.63	0.53	0	93.98	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter melissae	p__Pseudomonadota	GCF_009734185.1	95	98.79	GCF_009734185.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2001	2070538.14	Public Database	Apis mellifera	None	Commensalibacter sp. MRS1-bin.4	GCA_025290935.1	Pseudomonadota	Rhodospirillales	Commensalibacter	Commensalibacter sp. MRS1-bin.4	o__Rhodospirillales (UID3754)	63	336	99	0.75	0	95.25	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Commensalibacter;s__Commensalibacter melissae	p__Pseudomonadota	GCF_009734185.1	95	98.96	GCF_009734185.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2002	2070539.3	Public Database	Apis mellifera	None	Gammaproteobacteria bacterium ESL0073	GCA_003151175.1	Pseudomonadota	None	None	Gammaproteobacteria bacterium ESL0073	c__Gammaproteobacteria (UID4444)	263	507	94.19	0.94	0	89.49	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Pseudomonadales;f__Pseudomonadaceae;g__Entomomonas;s__Entomomonas moraniae	p__Pseudomonadota	GCF_003991975.1	95	96.03	GCF_003991975.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2003	2072582.4	Public Database	Labiotermes labralis	None	Nocardiaceae bacterium strain Lab288P1bin83	GCA_009784495.1	Actinomycetota	Mycobacteriales	None	Nocardiaceae bacterium strain Lab288P1bin83	o__Actinomycetales (UID1815)	120	574	77.2	6.55	7.69	44.45	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Mycobacteriales;f__Mycobacteriaceae;g__Rhodococcus;s__	p__Actinomycetota	None	None	None	GCA_029690005.1	taxonomic classification defined by topology and ANI	classification based on placement in class-level tree
GISB2004	208223.6	Public Database	Anopheles arabiensis	None	Kosakonia cowanii strain Esp_Z	GCA_002250015.1	Pseudomonadota	Enterobacterales	Kosakonia	Kosakonia cowanii strain Esp_Z	f__Enterobacteriaceae (UID5121)	138	1162	99.02	0.61	0	95.97	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Enterobacterales;f__Enterobacteriaceae;g__Kosakonia;s__Kosakonia cowanii	p__Pseudomonadota	GCF_001975225.1	95	96.8	GCF_001975225.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2005	2099678.7	Public Database	Embiratermes neotenicus	None	Desulfuromonadales bacterium strain Emb289P4bin35	GCA_009780995.1	Thermodesulfobacteriota	Desulfuromonadales	None	Desulfuromonadales bacterium strain Emb289P4bin35	c__Deltaproteobacteria (UID3216)	83	247	85.83	1.83	25	76.68	d__Bacteria;p__Desulfobacterota;c__Desulfuromonadia;o__Geobacterales;f__DSM-12255;g__WQYY01;s__WQYY01 sp009780995	p__Desulfobacterota	GCA_009780995.1	95	100	GCA_009780995.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2006	2134.3	Public Database	Apis mellifera	None	Spiroplasma melliferum strain CH-1	GCA_002868295.1	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Spiroplasma melliferum strain CH-1	c__Mollicutes (UID2395)	108	228	99.62	0.11	0	99.07	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Spiroplasma;s__Spiroplasma melliferum	p__Bacillota_I	GCF_005222125.1	95	99.69	GCF_005222125.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2007	2134.4	Public Database	Apis mellifera	None	Spiroplasma melliferum strain AS576	GCA_005222125.1	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Spiroplasma melliferum strain AS576	c__Mollicutes (UID2395)	108	228	99.62	0.11	0	99.07	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Spiroplasma;s__Spiroplasma melliferum	p__Bacillota_I	GCF_005222125.1	95	100	GCF_005222125.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2008	2138.19	Public Database	Drosophila melanogaster	None	Spiroplasma poulsonii strain MSRO-H99	GCA_003124115.1	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Spiroplasma poulsonii strain MSRO-H99	c__Mollicutes (UID2395)	108	228	97.74	1	100	92.74	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Spiroplasma;s__Spiroplasma poulsonii	p__Bacillota_I	GCF_009866525.1	95	99.92	GCF_009866525.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2009	2138.2	Public Database	Drosophila melanogaster	None	Spiroplasma poulsonii strain MSRO-SE	GCA_003124105.1	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Spiroplasma poulsonii strain MSRO-SE	c__Mollicutes (UID2395)	108	228	97.74	1	100	92.74	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Spiroplasma;s__Spiroplasma poulsonii	p__Bacillota_I	GCF_009866525.1	95	99.85	GCF_009866525.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2010	2138.24	Public Database	Drosophila melanogaster	None	Spiroplasma poulsonii strain Red42 Mateos 2017_18	GCA_019295385.1	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Spiroplasma poulsonii strain Red42 Mateos 2017_18	c__Mollicutes (UID2395)	108	228	97.74	0	0	97.74	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Spiroplasma;s__Spiroplasma poulsonii	p__Bacillota_I	GCF_009866525.1	95	99.69	GCF_009866525.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2011	2138.4	Public Database	Drosophila melanogaster	None	Spiroplasma poulsonii MSRO	GCA_000820525.1	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Spiroplasma poulsonii MSRO	c__Mollicutes (UID2395)	108	228	97.37	0.25	100	96.12	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Spiroplasma;s__Spiroplasma poulsonii	p__Bacillota_I	GCF_009866525.1	95	99.84	GCF_009866525.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2012	2143.4	Public Database	Tabanus	None	Spiroplasma gladiatoris strain TG-1	GCA_004379335.1	Mycoplasmatota	Entomoplasmatales	Spiroplasma	Spiroplasma gladiatoris strain TG-1	c__Mollicutes (UID2395)	108	228	98.87	1.13	0	93.22	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Spiroplasma_A;s__Spiroplasma_A gladiatoris	p__Bacillota_I	GCF_004379335.1	95	100	GCF_004379335.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2013	2149.3	Public Database	Tabanus	None	Mesoplasma entomophilum strain TAC	GCA_002749675.1	Mycoplasmatota	Entomoplasmatales	Mesoplasma	Mesoplasma entomophilum strain TAC	c__Mollicutes (UID2395)	108	228	99.62	0	0	99.62	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mesoplasma;s__Mesoplasma entomophilum	p__Bacillota_I	GCF_002804125.1	95	99.99	GCF_002804125.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2014	2149.4	Public Database	Tabanus	None	Mesoplasma entomophilum strain TAC	GCA_002804125.1	Mycoplasmatota	Entomoplasmatales	Mesoplasma	Mesoplasma entomophilum strain TAC	c__Mollicutes (UID2395)	108	228	99.62	0	0	99.62	d__Bacteria;p__Bacillota_I;c__Bacilli_A;o__Mycoplasmatales;f__Mycoplasmataceae;g__Mesoplasma;s__Mesoplasma entomophilum	p__Bacillota_I	GCF_002804125.1	95	100	GCF_002804125.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2015	2161826.3	Public Database	Aedes aegypti	None	Chromobacterium sp. Panama	GCA_003052555.1	Pseudomonadota	Neisseriales	Chromobacterium	Chromobacterium sp. Panama	c__Betaproteobacteria (UID3888)	323	387	99.15	0.85	0	94.9	d__Bacteria;p__Pseudomonadota;c__Gammaproteobacteria;o__Burkholderiales;f__Chromobacteriaceae;g__Chromobacterium;s__Chromobacterium sp003052555	p__Pseudomonadota	GCF_020544465.1	95	98.25	GCF_020544465.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2016	2202144.2	Public Database	Termes hospes	None	Spirochaetes bacterium strain Th196P1bin3	GCA_009778155.1	Spirochaetota	None	None	Spirochaetes bacterium strain Th196P1bin3	k__Bacteria (UID2495)	2993	142	88.57	1.52	0	80.97	d__Bacteria;p__Spirochaetota;c__Spirochaetia;o__Treponematales;f__Breznakiellaceae;g__WQXQ01;s__WQXQ01 sp009778155	p__Spirochaetota	GCA_009778155.1	95	100	GCA_009778155.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2017	2259883.3	Public Database	Drosophila melanogaster	None	Acetobacter sp. JWB	GCA_003323795.1	Pseudomonadota	Rhodospirillales	Acetobacter	Acetobacter sp. JWB	o__Rhodospirillales (UID3754)	63	336	100	0.5	0	97.5	d__Bacteria;p__Pseudomonadota;c__Alphaproteobacteria;o__Acetobacterales;f__Acetobacteraceae;g__Acetobacter;s__Acetobacter oryzifermentans	p__Pseudomonadota	GCF_001628715.1	95	98.57	GCF_001628715.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2018	2268199.3	Public Database	Embiratermes neotenicus	None	Polyangiaceae bacterium strain Emb289P4bin44	GCA_009780955.1	Myxococcota	Polyangiales	None	Polyangiaceae bacterium strain Emb289P4bin44	c__Deltaproteobacteria (UID3216)	83	247	94.06	1.94	0	84.36	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Labilithrix;s__Labilithrix sp009780955	p__Myxococcota	GCA_009780955.1	95	100	GCA_009780955.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2019	2268199.4	Public Database	Embiratermes neotenicus	None	Polyangiaceae bacterium strain Emb289P4bin34	GCA_009781005.1	Myxococcota	Polyangiales	None	Polyangiaceae bacterium strain Emb289P4bin34	c__Deltaproteobacteria (UID3216)	83	247	93.76	1.94	0	84.06	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Labilithrix;s__Labilithrix sp009781005	p__Myxococcota	GCA_009781005.1	95	100	GCA_009781005.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2020	2268199.5	Public Database	Embiratermes neotenicus	None	Polyangiaceae bacterium strain Emb289P3bin90	GCA_009781255.1	Myxococcota	Polyangiales	None	Polyangiaceae bacterium strain Emb289P3bin90	c__Deltaproteobacteria (UID3216)	83	247	55.33	1.83	25	46.18	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__MWCO01;s__	p__Myxococcota	None	None	None	None	taxonomic novelty determined using RED	classification based on placement in class-level tree
GISB2021	2268199.6	Public Database	Embiratermes neotenicus	None	Polyangiaceae bacterium strain Emb289P3bin120	GCA_009785135.1	Myxococcota	Polyangiales	None	Polyangiaceae bacterium strain Emb289P3bin120	c__Deltaproteobacteria (UID3216)	83	247	62.05	2.9	16.67	47.55	d__Bacteria;p__Myxococcota;c__Polyangia;o__Polyangiales;f__Polyangiaceae;g__Palsa-1150;s__	p__Myxococcota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB2022	2291322.1	Public Database	Labiotermes labralis	None	Streptococcaceae bacterium strain Lab288P1bin89	GCA_009784415.1	Bacillota	Lactobacillales	None	Streptococcaceae bacterium strain Lab288P1bin89	o__Lactobacillales (UID543)	294	472	55.69	0.75	75	51.94	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus sp009779335	p__Bacillota	GCA_009779335.1	95	99.9	GCA_009779335.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2023	2291322.7	Public Database	Termes hospes	None	Streptococcaceae bacterium strain Th196P3bin97	GCA_009776925.1	Bacillota	Lactobacillales	None	Streptococcaceae bacterium strain Th196P3bin97	o__Lactobacillales (UID543)	294	472	98.49	1.13	0	92.84	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus protaetiae	p__Bacillota	GCF_006965445.1	95	98.66	GCF_006965445.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2024	2291322.8	Public Database	Labiotermes labralis	None	Streptococcaceae bacterium strain Lab288P4bin76	GCA_009778765.1	Bacillota	Lactobacillales	None	Streptococcaceae bacterium strain Lab288P4bin76	o__Lactobacillales (UID543)	294	472	61.23	0.85	50	56.98	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus sp009779335	p__Bacillota	GCA_009779335.1	95	99.34	GCA_009779335.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2025	2291322.9	Public Database	Labiotermes labralis	None	Streptococcaceae bacterium strain Lab288P3bin9	GCA_009779335.1	Bacillota	Lactobacillales	None	Streptococcaceae bacterium strain Lab288P3bin9	o__Lactobacillales (UID543)	294	472	71.23	1.52	71.43	63.63	d__Bacteria;p__Bacillota;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Lactococcus;s__Lactococcus sp009779335	p__Bacillota	GCA_009779335.1	95	100	GCA_009779335.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2026	2304674.3	Public Database	Labiotermes labralis	None	Promicromonosporaceae bacterium strain Lab288P1bin101	GCA_009780755.1	Actinomycetota	Micrococcales	None	Promicromonosporaceae bacterium strain Lab288P1bin101	o__Actinomycetales (UID1572)	580	287	80.86	0.58	0	77.96	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Xylanimonas;s__Xylanimonas sp009780755	p__Actinomycetota	GCA_009780755.1	95	100	GCA_009780755.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
GISB2027	2304674.4	Public Database	Neocapritermes taracua	None	Promicromonosporaceae bacterium strain Nt197P3bin55	GCA_009782595.1	Actinomycetota	Micrococcales	None	Promicromonosporaceae bacterium strain Nt197P3bin55	o__Actinomycetales (UID1572)	580	287	67.33	7.13	68.75	31.68	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Xylanimonas;s__	p__Actinomycetota	None	None	None	None	taxonomic classification fully defined by topology	classification based on placement in class-level tree
GISB2028	2304674.5	Public Database	Neocapritermes taracua	None	Promicromonosporaceae bacterium strain Nt197P3bin3	GCA_009782865.1	Actinomycetota	Micrococcales	None	Promicromonosporaceae bacterium strain Nt197P3bin3	o__Actinomycetales (UID1572)	580	287	73.55	1.16	0	67.75	d__Bacteria;p__Actinomycetota;c__Actinomycetes;o__Actinomycetales;f__Cellulomonadaceae;g__Xylanimonas;s__Xylanimonas sp009782865	p__Actinomycetota	GCA_009782865.1	95	100	GCA_009782865.1	taxonomic classification defined by topology and ANI	topological placement and ANI have congruent species assignments
